"WAVELENGTH (MICRONS)" "FLUX (ERG/CM2/S/A)"
2.214301496e-01 2.9600925e-02
2.214744356e-01 1.6856954e-02
2.215187305e-01 1.0603326e-04
2.215630342e-01 1.8163723e-03
2.216073468e-01 3.5270534e-03
2.216516683e-01 4.6086577e-03
2.216959986e-01 4.9700164e-03
2.217403378e-01 4.9434695e-03
2.217846859e-01 3.4623549e-03
2.218290428e-01 1.9257858e-03
2.218734087e-01 1.6944358e-03
2.219177833e-01 1.4711693e-03
2.219621669e-01 1.2124261e-03
2.220065593e-01 9.5363105e-04
2.220509606e-01 3.1477113e-03
2.220953708e-01 8.3463022e-03
2.221397899e-01 1.8554872e-02
2.221842179e-01 4.9072880e-02
2.222286547e-01 8.2515674e-02
2.222731004e-01 5.7733934e-02
2.223175551e-01 2.7934195e-02
2.223620186e-01 1.9721078e-02
2.224064910e-01 1.1506318e-02
2.224509723e-01 9.7417120e-03
2.224954625e-01 1.5895680e-02
2.225399616e-01 1.9292688e-02
2.225844695e-01 1.1750431e-02
2.226289864e-01 3.9162708e-03
2.226735122e-01 2.7924709e-03
2.227180469e-01 -1.4817873e-02
2.227625905e-01 4.0751830e-02
2.228071431e-01 9.6332647e-02
2.228517045e-01 1.6404427e-01
2.228962748e-01 2.4573725e-01
2.229408541e-01 3.0660664e-01
2.229854423e-01 2.9403500e-01
2.230300394e-01 2.8380682e-01
2.230746454e-01 1.6229926e-01
2.231192603e-01 9.0589800e-03
2.231638841e-01 8.0297933e-03
2.232085169e-01 7.0004008e-03
2.232531586e-01 6.9280970e-03
2.232978093e-01 7.8272848e-03
2.233424688e-01 8.4755107e-03
2.233871373e-01 8.3969167e-03
2.234318147e-01 8.3912439e-03
2.234765011e-01 1.0108630e-02
2.235211964e-01 -7.2081789e-03
2.235659006e-01 9.1166316e-02
2.236106138e-01 2.7548067e-01
2.236553359e-01 1.7568462e-01
2.237000670e-01 7.5868615e-02
2.237448070e-01 8.0469576e-03
2.237895560e-01 4.9429056e-03
2.238343139e-01 3.4303238e-03
2.238790808e-01 1.6846742e-02
2.239238566e-01 2.0799101e-02
2.239686413e-01 1.0323219e-01
2.240134351e-01 2.4632239e-01
2.240582378e-01 1.6477549e-01
2.241030494e-01 8.3212290e-02
2.241478700e-01 2.8584511e-02
2.241926996e-01 1.4601086e-02
2.242375381e-01 3.1765687e-03
2.242823856e-01 4.4281998e-03
2.243272421e-01 9.5816754e-04
2.243721076e-01 7.9026717e-02
2.244169820e-01 2.0205119e-01
2.244618654e-01 1.2520617e-01
2.245067578e-01 4.8345794e-02
2.245516591e-01 8.3110345e-03
2.245965694e-01 7.8100014e-03
2.246414888e-01 8.2854568e-03
2.246864171e-01 1.1603304e-02
2.247313543e-01 1.7191020e-02
2.247763006e-01 9.5818318e-02
2.248212559e-01 2.0412320e-01
2.248662201e-01 1.3025422e-01
2.249111934e-01 2.7551036e-02
2.249561756e-01 2.2583602e-02
2.250011668e-01 1.7615175e-02
2.250461671e-01 1.2553140e-02
2.250911763e-01 7.3248854e-03
2.251361945e-01 4.5405573e-03
2.251812218e-01 1.7082381e-02
2.252262580e-01 3.1495112e-02
2.252713033e-01 2.1550535e-02
2.253163575e-01 -1.2746572e-02
2.253614208e-01 5.7738630e-02
2.254064931e-01 1.2823793e-01
2.254515744e-01 1.3123355e-01
2.254966647e-01 6.0649351e-02
2.255417640e-01 7.6701085e-03
2.255868724e-01 4.6167466e-03
2.256319898e-01 1.6760100e-03
2.256771162e-01 1.1895389e-03
2.257222516e-01 -1.0990620e-03
2.257673960e-01 8.9134168e-03
2.258125495e-01 2.6675833e-02
2.258577120e-01 1.6640376e-02
2.259028836e-01 6.6029117e-03
2.259480641e-01 6.8452949e-04
2.259932538e-01 9.5244922e-04
2.260384524e-01 1.1726843e-03
2.260836601e-01 1.1853831e-03
2.261288768e-01 4.3891902e-04
2.261741026e-01 3.1020227e-02
2.262193374e-01 7.5763442e-02
2.262645813e-01 4.6290573e-02
2.263098342e-01 -6.5385420e-03
2.263550962e-01 1.6386481e-02
2.264003672e-01 3.9316089e-02
2.264456473e-01 4.6732942e-02
2.264909364e-01 2.4758643e-02
2.265362346e-01 1.3654311e-02
2.265815418e-01 7.0696148e-02
2.266268581e-01 1.3575405e-01
2.266721835e-01 7.7341315e-02
2.267175179e-01 1.1713433e-03
2.267628614e-01 7.1994265e-03
2.268082140e-01 4.1327994e-03
2.268535757e-01 2.9102342e-02
2.268989464e-01 5.4076879e-02
2.269443262e-01 1.1237063e-01
2.269897150e-01 2.4290288e-01
2.270351130e-01 3.4168200e-01
2.270805200e-01 1.9004334e-01
2.271259361e-01 1.7952201e-02
2.271713613e-01 9.4526438e-02
2.272167956e-01 2.1611833e-01
2.272622389e-01 1.3784665e-01
2.273076914e-01 1.1025544e-02
2.273531529e-01 3.1626849e-02
2.273986235e-01 5.2232274e-02
2.274441033e-01 7.3053271e-02
2.274895921e-01 9.4348954e-02
2.275350900e-01 1.0856127e-01
2.275805970e-01 6.6498819e-02
2.276261131e-01 2.1608772e-02
2.276716384e-01 1.2549401e-02
2.277171727e-01 -4.9843430e-03
2.277627161e-01 1.6034533e-02
2.278082687e-01 5.3111412e-02
2.278538303e-01 4.0480491e-02
2.278994011e-01 2.7847045e-02
2.279449810e-01 1.9752836e-02
2.279905700e-01 2.0935506e-02
2.280361681e-01 2.2005345e-02
2.280817753e-01 2.2352462e-02
2.281273917e-01 2.3033833e-02
2.281730171e-01 1.7535461e-02
2.282186517e-01 1.1800602e-02
2.282642955e-01 7.2467784e-03
2.283099483e-01 -1.3695974e-02
2.283556103e-01 1.9067457e-02
2.284012815e-01 5.1837441e-02
2.284469617e-01 6.2930721e-02
2.284926511e-01 3.7306079e-02
2.285383496e-01 1.5802873e-02
2.285840573e-01 1.0341556e-02
2.286297741e-01 4.9686519e-03
2.286755001e-01 4.7921497e-03
2.287212352e-01 4.4330416e-03
2.287669794e-01 5.3320304e-03
2.288127328e-01 -4.5339193e-02
2.288584954e-01 1.0063697e-01
2.289042671e-01 2.4664234e-01
2.289500479e-01 2.5881594e-01
2.289958379e-01 1.1366335e-01
2.290416371e-01 4.9490295e-02
2.290874454e-01 1.9792860e-01
2.291332629e-01 3.1880114e-01
2.291790896e-01 1.7064469e-01
2.292249254e-01 9.5362729e-03
2.292707704e-01 6.7138447e-03
2.293166245e-01 -1.8685275e-03
2.293624878e-01 1.6652065e-02
2.294083603e-01 3.7731085e-02
2.294542420e-01 5.0579972e-02
2.295001329e-01 6.3431429e-02
2.295460329e-01 6.3793882e-02
2.295919421e-01 4.2981586e-02
2.296378605e-01 2.4113918e-02
2.296837880e-01 1.3394699e-02
2.297297248e-01 3.1538848e-03
2.297756707e-01 2.2892814e-02
2.298216259e-01 4.9062026e-02
2.298675902e-01 2.8752234e-02
2.299135637e-01 1.6473137e-03
2.299595464e-01 1.5591280e-03
2.300055383e-01 1.4709248e-03
2.300515395e-01 1.3352312e-03
2.300975498e-01 1.1500857e-03
2.301435693e-01 1.0750120e-03
2.301895980e-01 1.2376591e-03
2.302356359e-01 2.3769618e-03
2.302816830e-01 9.3165448e-03
2.303277394e-01 1.6540373e-02
2.303738049e-01 1.3146619e-02
2.304198797e-01 2.0341548e-03
2.304659637e-01 3.7637404e-02
2.305120568e-01 8.5658739e-02
2.305581593e-01 8.7505924e-02
2.306042709e-01 8.9353479e-02
2.306503917e-01 8.2260145e-02
2.306965218e-01 6.4827127e-02
2.307426611e-01 4.5517305e-02
2.307888097e-01 2.1749075e-02
2.308349674e-01 2.1078602e-03
2.308811344e-01 1.0295558e-02
2.309273106e-01 1.9061489e-02
2.309734961e-01 1.1488856e-02
2.310196908e-01 8.6924465e-04
2.310658947e-01 8.4090066e-03
2.311121079e-01 2.1646383e-02
2.311583303e-01 1.3602692e-02
2.312045620e-01 5.5573932e-03
2.312508029e-01 2.5186783e-02
2.312970531e-01 7.5847516e-02
2.313433125e-01 1.5065907e-01
2.313895812e-01 2.7938081e-01
2.314358591e-01 3.6684195e-01
2.314821462e-01 2.1700209e-01
2.315284427e-01 5.8050130e-02
2.315747484e-01 6.6274310e-01
2.316210633e-01 1.4445352e+00
2.316673875e-01 1.0164985e+00
2.317137210e-01 5.1310102e-01
2.317600637e-01 3.1321050e-01
2.318064158e-01 -2.6248299e-02
2.318527770e-01 6.0207056e-02
2.318991476e-01 1.4667970e-01
2.319455274e-01 1.7791966e-01
2.319919165e-01 1.0935151e-01
2.320383149e-01 5.0047143e-02
2.320847226e-01 2.7672835e-02
2.321311395e-01 9.6204235e-03
2.321775658e-01 8.1116550e-02
2.322240013e-01 1.6745072e-01
2.322704461e-01 1.0124347e-01
2.323169002e-01 -3.8766820e-02
2.323633635e-01 1.7835209e-01
2.324098362e-01 5.7358086e-01
2.324563182e-01 3.5888479e-01
2.325028094e-01 1.4414578e-01
2.325493100e-01 4.4708674e-02
2.325958199e-01 9.4023269e-02
2.326423390e-01 1.6056425e-01
2.326888675e-01 2.6576418e-01
2.327354053e-01 3.2822843e-01
2.327819523e-01 1.6471567e-01
2.328285087e-01 4.6187445e-03
2.328750744e-01 1.5669100e-01
2.329216495e-01 3.4994443e-01
2.329682338e-01 2.0021671e-01
2.330148274e-01 3.8820386e-03
2.330614304e-01 1.8878267e-02
